dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1937-06-01,16.576,0.41,Grenoble,France,45.81N,5.77E
1812-08-01,,,Rewari,India,28.13N,77.27E
1920-03-01,4.082999999999998,0.204,Takaoka,Japan,36.17N,137.24E
1984-08-01,29.75,0.314,Gurgaon,India,28.13N,77.27E
1884-08-01,21.918000000000003,0.816,Leshan,China,29.74N,103.38E
1845-09-01,,,Surabaya,Indonesia,7.23S,112.70E
1923-08-01,25.728,0.181,Mandsaur,India,24.92N,74.48E
1977-09-01,15.499,0.253,Galati,Romania,45.81N,28.85E
1913-02-01,25.425,0.346,Hagonoy,Philippines,15.27N,120.83E
1816-09-01,27.836,1.571,Lahore,Pakistan,31.35N,73.51E
1828-07-01,27.99,1.6669999999999998,Vejalpur,India,23.31N,74.27E
1881-09-01,7.704,2.588,Chillan,Chile,36.17S,71.60W
1887-03-01,7.332999999999999,0.813,Durham,United States,36.17N,79.56W
1925-07-01,27.556,0.536,Khon Kaen,Thailand,16.87N,102.14E
1832-04-01,,,Khushab,Pakistan,32.95N,71.81E
1827-01-01,-0.9449999999999998,3.095,Hamadan,Iran,34.56N,48.65E
1959-12-01,8.648000000000001,0.319,Duma,Syria,32.95N,37.34E
1927-11-01,26.389,0.481,Purwokerto,Indonesia,7.23S,109.46E
1977-03-01,8.631,0.208,Handa,Japan,34.56N,136.22E
1963-05-01,17.302,0.327,Iasi,Romania,47.42N,27.24E
1948-10-01,25.654,0.375,Charallave,Venezuela,10.45N,66.27W
1925-05-01,22.431,0.497,Spring Valley,United States,36.17N,115.36W
1835-09-01,16.012,1.411,Santo André,Brazil,23.31S,46.31W
1965-06-01,20.304,0.5489999999999999,Ageo,Japan,36.17N,139.23E
1982-12-01,-0.427,0.168,Seoul,South Korea,37.78N,126.10E
1921-02-01,-14.15,0.326,Glazov,Russia,58.66N,52.31E
1944-11-01,14.75,0.281,Nicolás Romero,Mexico,20.09N,98.96W
1904-10-01,8.756,0.263,Stuttgart,Germany,49.03N,9.80E
1765-12-01,1.609,2.519,Southend On Sea,United Kingdom,52.24N,0.00W
1940-03-01,3.12,0.198,Washington,United States,39.38N,76.99W
1865-12-01,6.142,2.463,Plano,United States,32.95N,96.70W
1755-03-01,4.255000000000001,4.604,London,United Kingdom,52.24N,0.00W
1922-12-01,23.633000000000003,0.352,Limeira,Brazil,21.70S,47.60W
1913-06-01,31.088000000000005,0.885,Islamabad,Pakistan,32.95N,73.72E
1892-12-01,25.748,1.421,San Miguelito,Panama,8.84N,80.27W
1926-08-01,20.655,0.52,Aix En Provence,France,44.20N,4.47E
1989-10-01,17.238,0.302,Zhenjiang,China,32.95N,119.68E
1957-07-01,22.828000000000003,0.347,Kindu,Congo (Democratic Republic Of The),2.41S,26.52E
1823-02-01,-1.959,1.85,Kherson,Ukraine,47.42N,31.97E
1883-06-01,21.76,0.885,Kurume,Japan,32.95N,131.17E
1875-02-01,3.6020000000000003,0.7090000000000001,Exeter,United Kingdom,50.63N,3.80W
1929-05-01,28.254,0.525,Port Blair,India,12.05N,92.05E
2009-07-01,26.599,0.432,Mawlamyine,Burma,16.87N,97.12E
1967-09-01,16.191,0.5,Bisho,South Africa,32.95S,27.77E
1917-10-01,11.03,0.574,Erzincan,Turkey,39.38N,39.54E
2002-02-01,-0.2040000000000006,0.262,Jinzhou,China,40.99N,121.42E
1866-02-01,7.638999999999999,1.599,Beibei,China,29.74N,107.08E
1979-05-01,12.322,0.573,Portland,United States,45.81N,123.46W
1922-05-01,21.334,0.3379999999999999,Jishou,China,28.13N,110.00E
1965-12-01,-18.382,0.5920000000000001,Yushu,China,44.20N,127.45E
2008-10-01,23.89,0.514,Vitória Da Conquista,Brazil,15.27S,40.83W
1960-04-01,20.008,0.492,Itapetininga,Brazil,23.31S,48.06W
1942-11-01,3.0610000000000004,0.185,Springfield,United States,42.59N,72.00W
1771-02-01,-0.0869999999999999,5.003,Strasbourg,France,49.03N,7.35E
1846-08-01,26.481,1.266,San Fernando,Philippines,15.27N,120.83E
1860-03-01,-11.199000000000002,2.256,Penza,Russia,53.84N,45.00E
1938-05-01,27.178,0.177,Melaka,Malaysia,2.41N,102.05E
1937-01-01,-11.682,0.638,Balashikha,Russia,55.45N,36.85E
1957-02-01,20.396,0.306,Taunggyi,Burma,20.09N,97.25E
1811-04-01,20.146,1.862,Orlando,United States,28.13N,80.91W
1854-03-01,26.637,0.865,Champdani,India,23.31N,88.25E
1822-05-01,14.317,1.588,Xichang,China,28.13N,102.73E
1918-04-01,12.393,0.3389999999999999,Ogaki,Japan,34.56N,136.22E
1993-09-01,14.277,0.376,Tarija,Bolivia,21.70S,64.90W
1938-11-01,10.222,0.305,Sakai,Japan,34.56N,136.22E
1897-10-01,10.639,0.415,Kayseri,Turkey,39.38N,35.38E
1999-06-01,23.381,0.3329999999999999,Maxixe,Mozambique,23.31S,35.83E
1896-09-01,21.696,0.526,Xinpu,China,34.56N,118.70E
1877-12-01,12.878,2.063,Shekhupura,Pakistan,31.35N,73.51E
1946-07-01,28.19,0.436,Coro,Venezuela,12.05N,69.04W
1928-03-01,-7.782,0.578,Ivanovo,Russia,57.05N,39.84E
1999-07-01,7.182,0.241,Lasa,China,29.74N,90.46E
1885-06-01,28.338,0.6729999999999999,Bhiwandi,India,20.09N,73.36E
1969-02-01,22.045,0.526,Bahia Blanca,Argentina,39.38S,62.43W
1958-04-01,26.721,0.653,Taman,Indonesia,7.23S,109.46E
1974-10-01,11.901,0.335,Braga,Portugal,40.99N,8.52W
1963-05-01,23.878,0.427,Tallahassee,United States,29.74N,84.92W
1817-03-01,0.7519999999999999,3.103,Mazyr,Belarus,52.24N,28.91E
1827-01-01,,,Sungai Petani,Malaysia,5.63N,100.09E
1992-07-01,24.47,0.332,Zaria,Nigeria,10.45N,7.36E
1916-05-01,22.247,0.723,Mazatlán,Mexico,23.31N,105.73W
1909-02-01,-10.470999999999998,0.525,Saint Petersburg,Russia,60.27N,29.19E
1962-04-01,25.938,0.238,Grogol,Indonesia,7.23S,111.08E
2000-07-01,28.825,0.276,Gazipur,Bangladesh,23.31N,90.00E
