dt,AverageTemperature,AverageTemperatureUncertainty,City,Country,Latitude,Longitude
1870-09-01,20.918000000000006,1.79,Kawasaki,Japan,36.17N,139.23E
1925-02-01,-5.424,0.659,Balakovo,Russia,52.24N,47.30E
1958-09-01,16.727999999999998,0.349,Stara Zagora,Bulgaria,42.59N,26.18E
1973-12-01,4.284,0.1889999999999999,Handa,Japan,34.56N,136.22E
1932-08-01,29.19,0.178,Mesquite,United States,32.95N,96.70W
1967-07-01,29.16,0.614,Rancho Cucamonga,United States,34.56N,116.76W
1857-09-01,24.287,1.3119999999999998,Dekernes,Egypt,31.35N,32.04E
1973-05-01,17.236,0.384,Hebi,China,36.17N,113.37E
1865-03-01,,,Cileunyi,Indonesia,7.23S,107.84E
1960-03-01,5.539,0.53,Marivan,Iran,36.17N,45.75E
1962-02-01,25.641,0.407,Koronadal,Philippines,5.63N,124.30E
1939-03-01,1.768,0.688,Jinzhou,China,40.99N,121.42E
1972-01-01,7.608,0.297,Neijiang,China,29.74N,105.23E
1919-04-01,34.550000000000004,1.49,Niamey,Niger,13.66N,2.48E
1966-10-01,20.824,0.4029999999999999,Chilpancingo,Mexico,18.48N,99.72W
1828-01-01,-13.823,2.67,Orël,Russia,52.24N,36.79E
1882-06-01,26.984,0.889,Lapu Lapu,Philippines,10.45N,123.55E
1749-01-01,,,Marseille,France,42.59N,6.55E
1907-02-01,21.066,0.397,Panihati,India,23.31N,88.25E
1816-04-01,28.539,4.236000000000001,Pudukkottai,India,10.45N,79.36E
1929-03-01,-0.464,0.395,Augsburg,Germany,47.42N,10.66E
1884-05-01,16.679000000000002,1.12,Weinan,China,34.56N,108.97E
1811-08-01,,,Jalpaiguri,India,26.52N,89.55E
1830-05-01,,,Balikpapan,Indonesia,0.80S,116.52E
1983-02-01,26.66,0.408,Pagadian,Philippines,7.23N,124.05E
1933-03-01,-4.612,0.523,Noginsk,Russia,55.45N,39.69E
1943-10-01,12.094,0.341,Banja Luka,Bosnia And Herzegovina,44.20N,17.89E
1981-03-01,23.701,0.311,Bhind,India,26.52N,78.81E
1916-02-01,23.11,0.3779999999999999,Charallave,Venezuela,10.45N,66.27W
2003-02-01,26.758000000000003,0.273,Sunggal,Indonesia,4.02N,98.84E
1882-04-01,11.258,0.6559999999999999,Ome,Japan,36.17N,139.23E
1830-02-01,20.015,1.99,Pali,India,26.52N,73.43E
1918-06-01,16.389,0.971,Vanadzor,Armenia,40.99N,44.73E
1885-06-01,17.058,0.305,Rochester,United States,42.59N,78.55W
1862-12-01,,,Mwanza,Tanzania,2.41S,32.95E
1762-05-01,16.750999999999998,4.88,Philadelphia,United States,39.38N,74.91W
1956-12-01,15.974,0.306,Dadu,Pakistan,26.52N,68.06E
1750-11-01,,,Sheffield,United Kingdom,53.84N,1.36W
1862-02-01,2.753,1.185,Venice,Italy,45.81N,12.69E
1909-10-01,21.868,0.701,San Nicolás De Los Garza,Mexico,26.52N,100.30W
1913-12-01,5.233,0.635,Kerch,Ukraine,45.81N,35.77E
2007-12-01,25.363000000000003,0.501,Magé,Brazil,23.31S,42.82W
1840-01-01,14.855,2.11,Larkana,Pakistan,28.13N,68.18E
1892-03-01,6.422999999999999,0.7809999999999999,Móstoles,Spain,40.99N,4.26W
1855-12-01,,,Kabwe,Zambia,13.66S,28.90E
1775-08-01,25.329,1.632,Bari,Italy,40.99N,17.04E
1883-07-01,20.632,0.5760000000000001,Venice,Italy,45.81N,12.69E
1994-01-01,25.37,0.406,Colombo,Sri Lanka,7.23N,80.27E
1859-07-01,16.659000000000002,1.3019999999999998,Stockholm,Sweden,58.66N,18.46E
1992-04-01,15.558,0.22,Tunis,Tunisia,36.17N,9.94E
1983-03-01,22.396,0.351,Newcastle,Australia,32.95S,152.23E
1965-06-01,18.819000000000003,0.969,Trujillo,Peru,8.84S,78.65W
1928-04-01,25.268,0.919,Sabha,Libya,26.52N,14.33E
1898-03-01,26.60100000000001,0.741,Cikupa,Indonesia,5.63S,106.55E
1949-11-01,18.97,0.2789999999999999,Miami,United States,26.52N,80.60W
1919-10-01,17.861,0.4379999999999999,Concordia,Argentina,31.35S,58.43W
1991-09-01,26.834,0.413,Managua,Nicaragua,12.05N,85.48W
1776-11-01,5.920999999999999,6.601,Amiens,France,49.03N,2.45E
1826-12-01,9.675,3.025,Killeen,United States,31.35N,98.01W
1936-12-01,3.273,0.252,Yangzhou,China,32.95N,119.68E
1830-09-01,27.292,1.821,Dum Dum,India,23.31N,88.25E
1913-06-01,18.953,0.425,Jiutai,China,44.20N,125.22E
1791-03-01,6.141,3.485,Indianapolis,United States,39.38N,85.32W
1964-04-01,23.954,0.348,Chenghai,China,23.31N,116.21E
1966-09-01,24.203000000000003,0.33,Sur,Lebanon,32.95N,35.43E
1978-05-01,27.121,0.263,Ziguinchor,Senegal,12.05N,16.44W
1871-12-01,23.167,1.093,Payakumbuh,Indonesia,0.80S,100.45E
1985-02-01,18.304,0.8320000000000001,Nawabshah,Pakistan,26.52N,68.06E
1884-08-01,22.648000000000003,1.043,Yaoundé,Cameroon,4.02N,12.05E
1916-08-01,25.342,0.755,Puyang,China,36.17N,115.36E
1842-11-01,20.022,1.475,São José Dos Campos,Brazil,23.31S,46.31W
1994-03-01,29.049,0.546,Yenangyaung,Burma,20.09N,95.55E
1966-03-01,4.357,0.28,Maastricht,Netherlands,50.63N,6.34E
1751-08-01,18.356,0.843,Bydgoszcz,Poland,53.84N,17.73E
1871-04-01,27.543000000000003,1.344,Badlapur,India,18.48N,72.68E
1922-01-01,25.271,0.531,Posadas,Argentina,28.13S,55.45W
1859-01-01,3.301,1.766,Okazaki,Japan,34.56N,136.22E
1886-11-01,22.717,1.3019999999999998,Luanshya,Zambia,13.66S,28.90E
1996-12-01,8.227,0.31,Turhal,Turkey,40.99N,36.21E
1906-02-01,15.519999999999998,0.767,Bareli,India,28.13N,79.09E
1999-08-01,24.074,0.3289999999999999,Beipiao,China,40.99N,121.42E
1969-10-01,22.974,0.262,Yungho,Taiwan,24.92N,122.36E
1877-12-01,-7.57,2.169,Orekhovo Zuevo,Russia,55.45N,39.69E
1970-02-01,26.067,0.498,Kisangani,Congo (Democratic Republic Of The),0.80N,24.91E
2009-05-01,19.052,0.268,Lianran,China,24.92N,102.86E
1878-09-01,25.749,1.195,Mubi,Nigeria,10.45N,13.91E
1967-10-01,20.947,0.319,Susah,Tunisia,36.17N,9.94E
1977-05-01,16.529,0.466,Jinzhou,China,40.99N,121.42E
1873-01-01,12.628,1.286,Zuwarah,Libya,32.95N,12.45E
2001-06-01,18.975,0.283,Syracuse,United States,42.59N,76.36W
1992-05-01,17.988,0.4,Toulon,France,42.59N,6.55E
2006-06-01,20.363,0.225,Ichikawa,Japan,36.17N,139.23E
1886-11-01,25.698,0.715,Tema,Ghana,5.63N,0.00W
1947-08-01,28.257,0.361,Puerto Vallarta,Mexico,20.09N,105.78W
1783-11-01,6.425,3.129,Paris,France,49.03N,2.45E
1922-04-01,27.501,1.017,Ikorodu,Nigeria,7.23N,4.05E
1848-04-01,10.858,1.607,Mahabad,Iran,36.17N,45.75E
1887-07-01,29.115,0.696,Morena,India,26.52N,78.81E
1968-05-01,9.215,0.4029999999999999,Groningen,Netherlands,53.84N,6.82E
1834-01-01,9.99,5.529,Casablanca,Morocco,32.95N,6.70W
1933-02-01,0.225,0.19,Darmstadt,Germany,50.63N,8.87E
1950-09-01,18.224,0.411,Samarkand,Uzbekistan,39.38N,66.59E
1817-09-01,20.093,2.766,Zaragoza,Spain,40.99N,0.00W
1976-03-01,-8.683,0.429,Novocheboksarsk,Russia,55.45N,48.19E
1961-09-01,22.971000000000004,0.166,Tama,Japan,36.17N,139.23E
1914-11-01,4.916,0.342,Dezhou,China,37.78N,115.93E
1856-03-01,10.461,1.49,Abilene,United States,32.95N,100.53W
1748-12-01,,,Joliet,United States,40.99N,87.34W
1783-02-01,3.446,4.171,Ankara,Turkey,39.38N,33.29E
1900-08-01,28.555,0.477,Donghai,China,23.31N,116.21E
2009-09-01,17.048000000000002,0.191,Balti,Moldova,47.42N,27.24E
1844-09-01,25.25,1.307,Cancún,Mexico,21.70N,87.40W
1862-11-01,,,Kisumu,Kenya,0.80S,34.55E
1982-07-01,25.518,0.344,Baneh,Iran,36.17N,45.75E
1895-07-01,22.148000000000003,1.122,Kampala,Uganda,0.80N,32.95E
1950-04-01,12.322,0.294,Kayseri,Turkey,39.38N,35.38E
1950-11-01,4.2,0.262,Tomakomai,Japan,42.59N,141.82E
1755-03-01,-3.815,3.516,Bryansk,Russia,53.84N,34.09E
1839-07-01,26.542,2.325,Dos Hermanas,Spain,37.78N,6.10W
1933-04-01,3.245,0.309,Minsk,Belarus,53.84N,28.64E
1766-10-01,8.171,2.154,Balti,Moldova,47.42N,27.24E
1856-11-01,24.274,1.11,Rajamahendri,India,16.87N,82.05E
2000-10-01,27.077,0.291,Unnao,India,26.52N,80.60E
1944-07-01,29.013,0.3279999999999999,Maymyo,Burma,21.70N,96.06E
1976-06-01,15.838,0.231,George,South Africa,34.56S,23.35E
1963-04-01,11.706,0.371,San Francisco,United States,37.78N,122.03W
1981-09-01,16.883,0.384,Huixquilucan,Mexico,20.09N,98.96W
1900-07-01,19.542,1.56,Qostanay,Kazakhstan,53.84N,64.09E
1969-09-01,28.407,0.4379999999999999,Hermosillo,Mexico,29.74N,110.77W
1966-01-01,-4.2010000000000005,0.664,Brasov,Romania,45.81N,26.54E
2005-12-01,-11.849,0.161,Zhangjiakou,China,40.99N,115.03E
1851-03-01,25.127,1.306,Depok,Indonesia,7.23S,109.46E
1984-10-01,20.641,0.411,Joinville,Brazil,26.52S,48.36W
1888-03-01,26.357,1.969,Matadi,Congo (Democratic Republic Of The),5.63S,12.91E
1789-01-01,7.955999999999999,6.047999999999999,Sassari,Italy,40.99N,8.52E
1954-08-01,22.109,0.634,Palmdale,United States,34.56N,118.70W
1871-11-01,25.166,1.079,Bac Lieu,Vietnam,8.84N,106.22E
1860-05-01,,,Hargeysa,Somalia,8.84N,44.59E
2009-01-01,17.435,0.286,Darbhanga,India,26.52N,85.97E
1897-05-01,22.368,0.716,Bantou,China,24.92N,118.82E
1925-10-01,16.436,0.496,Witbank,South Africa,26.52S,28.66E
1867-12-01,14.868,1.789,Temuco,Chile,39.38S,72.83W
1984-05-01,30.174,0.241,Meiktila,Burma,20.09N,95.55E
1998-07-01,27.709,0.33,Thaton,Burma,16.87N,97.12E
1953-02-01,3.654,0.26,Yizheng,China,32.95N,119.68E
1935-10-01,25.734,0.211,Pingtung,Taiwan,23.31N,119.71E
1820-05-01,12.253,2.293,Manchester,United States,42.59N,72.00W
1937-02-01,3.687,0.248,Tachikawa,Japan,36.17N,139.23E
1858-01-01,3.459,2.777,Irbil,Iraq,36.17N,43.76E
1888-03-01,23.301,0.906,Ribeirão Prêto,Brazil,21.70S,47.60W
1917-10-01,7.728,1.051,Dawukou,China,39.38N,106.13E
1931-08-01,29.772,0.337,Deoria,India,26.52N,84.18E
1916-02-01,11.193,1.071,Idlib,Syria,36.17N,35.80E
1864-05-01,21.954,1.0759999999999998,Denton,United States,32.95N,96.70W
1928-09-01,16.241,0.408,Nantes,France,47.42N,1.18W
1941-03-01,18.847,0.25,Auckland,New Zealand,36.17S,175.03E
1801-07-01,29.385,2.386,Ulubaria,India,23.31N,88.25E
1937-05-01,16.785,0.589,Guarujá,Brazil,23.31S,46.31W
1966-06-01,21.382,0.437,Guaratinguetá,Brazil,23.31S,44.56W
1915-08-01,25.354,0.6709999999999999,Laohekou,China,32.95N,112.02E
1971-02-01,9.187,0.2189999999999999,Mesquite,United States,32.95N,96.70W
1935-11-01,12.474,0.902,Shaoyang,China,26.52N,111.04E
1915-09-01,25.984,0.447,Sepatan,Indonesia,5.63S,106.55E
1989-07-01,28.634,0.354,Nandyal,India,15.27N,79.17E
1928-07-01,26.843000000000004,0.24,Sekudai,Malaysia,0.80N,103.66E
1974-03-01,26.322000000000006,0.4639999999999999,Sidoarjo,Indonesia,7.23S,112.70E
1920-06-01,31.71,0.787,Hoshiarpur,India,31.35N,75.39E
1882-06-01,26.121,0.579,Wichita Falls,United States,34.56N,99.24W
1909-07-01,16.594,1.105,Botucatu,Brazil,23.31S,48.06W
1852-10-01,,,Lilongwe,Malawi,13.66S,33.85E
1918-11-01,1.996,0.307,Gdansk,Poland,53.84N,17.73E
1982-04-01,16.572,0.289,Kaiyuan,China,23.31N,103.98E
1926-05-01,12.536,0.401,Olsztyn,Poland,53.84N,20.45E
1806-12-01,,,Oklahoma City,United States,36.17N,97.46W
1902-12-01,19.172,0.713,Bethal,South Africa,26.52S,28.66E
1999-10-01,11.608,0.163,Exeter,United Kingdom,50.63N,3.80W
1872-10-01,17.562,0.616,Yueyang,China,29.74N,112.62E
1971-04-01,11.058,0.501,Osmaniye,Turkey,37.78N,36.61E
1902-11-01,26.854000000000006,0.884,Thaton,Burma,16.87N,97.12E
1945-05-01,16.477,0.41,Zhoucheng,China,24.92N,102.86E
1874-09-01,23.296000000000006,2.501,Rialto,United States,34.56N,116.76W
1832-07-01,23.234,2.7030000000000003,Knoxville,United States,36.17N,83.54W
1829-07-01,23.608,1.746,Hulan Ergi,China,47.42N,124.34E
1883-07-01,22.732,0.948,Antalya,Turkey,37.78N,30.51E
1973-06-01,13.841,0.3979999999999999,Glasgow,United Kingdom,55.45N,2.83W
1959-03-01,25.626,0.4429999999999999,Prabumulih,Indonesia,4.02S,103.66E
1794-01-01,-11.375,6.021,Sherbrooke,Canada,45.81N,72.69W
1869-09-01,16.101000000000006,1.27,Zhaotong,China,26.52N,103.88E
1963-08-01,24.91,0.415,Korla,China,40.99N,85.21E
1908-02-01,4.106,0.552,Charlotte,United States,34.56N,81.73W
1926-06-01,22.2,0.4679999999999999,Fuxin,China,42.59N,122.18E
1973-08-01,26.03,0.377,Karang Tengah,Indonesia,7.23S,106.22E
1877-12-01,-1.996,2.15,Oradea,Romania,47.42N,22.50E
1866-09-01,21.458,1.046,Saveh,Iran,34.56N,50.59E
1841-06-01,30.85,1.569,Raigarh,India,21.70N,83.94E
1940-08-01,13.324000000000002,0.769,Viamão,Brazil,29.74S,51.69W
1989-02-01,19.153,0.243,Jodhpur,India,26.52N,73.43E
1863-02-01,-1.4389999999999998,2.438,Pingliang,China,36.17N,107.40E
1831-08-01,,,Srinagar,India,34.56N,73.95E
1837-04-01,2.7170000000000005,2.062,Ranghulu,China,47.42N,124.34E
1966-06-01,19.675,0.259,Shihezi,China,44.20N,84.97E
1974-01-01,13.105,0.373,Port Said,Egypt,31.35N,32.04E
1795-05-01,,,Gyumri,Armenia,40.99N,44.73E
1862-10-01,18.186,1.365,Virginia Beach,United States,36.17N,75.58W
1808-06-01,17.215999999999998,1.789,Kayseri,Turkey,39.38N,35.38E
1897-03-01,20.35,0.535,New Orleans,United States,29.74N,90.46W
1954-12-01,16.413999999999998,0.285,Mirzapur,India,24.92N,83.35E
1990-06-01,26.266,0.432,Bijapur,India,16.87N,75.35E
1919-08-01,16.166,0.429,Leiden,Netherlands,52.24N,5.26E
1880-05-01,10.239,1.0659999999999998,Tandil,Argentina,37.78S,58.98W
1986-10-01,24.188,0.457,Maceió,Brazil,10.45S,35.18W
1968-03-01,24.157,0.718,Berbera,Somalia,10.45N,45.00E
1922-05-01,18.107,0.537,Resende,Brazil,21.70S,44.13W
1933-03-01,25.651000000000003,0.302,Sagar,India,23.31N,79.51E
1750-12-01,1.241,1.6230000000000002,Düsseldorf,Germany,50.63N,6.34E
1909-08-01,25.153,0.5329999999999999,Bissau,Guinea Bissau,12.05N,14.79W
1814-03-01,2.633,2.959,Stoke On Trent,United Kingdom,52.24N,2.63W
1787-01-01,5.945,4.071000000000001,Zaragoza,Spain,40.99N,0.00W
1982-12-01,2.855,0.278,Clermont Ferrand,France,45.81N,3.46E
1856-12-01,6.880999999999999,2.045,Simi Valley,United States,34.56N,118.70W
1748-06-01,,,Nizhnekamsk,Russia,55.45N,51.02E
1988-02-01,22.95,0.18,Botucatu,Brazil,23.31S,48.06W
1872-08-01,19.763,1.112,Colorado Springs,United States,39.38N,104.05W
1882-01-01,25.639,1.394,Minna,Nigeria,8.84N,7.30E
2004-09-01,25.55,0.196,Cape Coast,Ghana,5.63N,1.61W
1832-06-01,,,Durg,India,21.70N,80.48E
1965-06-01,23.3,0.455,Daxian,China,31.35N,107.43E
1864-02-01,7.393000000000002,2.125,Neijiang,China,29.74N,105.23E
1754-10-01,17.252000000000002,2.31,Murcia,Spain,37.78N,2.03W
1949-11-01,26.222,0.251,Nonthaburi,Thailand,13.66N,99.91E
1964-06-01,22.905,0.327,Mbouda,Cameroon,5.63N,9.69E
1758-07-01,15.156,9.769,Liège,Belgium,50.63N,6.34E
1953-01-01,4.979,0.309,Shaoyang,China,26.52N,111.04E
1911-03-01,5.257999999999999,0.369,Nancy,France,49.03N,7.35E
1857-11-01,5.852,1.433,Aksaray,Turkey,37.78N,34.58E
1838-01-01,1.423,2.3040000000000003,Manbij,Syria,36.17N,37.79E
1915-09-01,10.994000000000002,0.292,Wroclaw,Poland,50.63N,16.48E
1932-03-01,1.6840000000000002,1.002,Orumiyeh,Iran,37.78N,44.75E
1899-03-01,21.172,1.151,Cartago,Colombia,4.02N,76.34W
1928-08-01,24.727,0.421,Qinhuangdao,China,39.38N,118.61E
1863-09-01,19.548,1.443,Eslamshahr,Iran,36.17N,51.71E
1825-12-01,7.795,1.238,Virginia Beach,United States,36.17N,75.58W
1996-04-01,28.534,0.521,Phan Thiet,Vietnam,10.45N,107.18E
1993-09-01,23.241,0.17,Yokosuka,Japan,34.56N,140.11E
1857-06-01,16.235,0.738,Odense,Denmark,55.45N,11.34E
1801-08-01,24.585,1.88,Casablanca,Morocco,32.95N,6.70W
1778-04-01,,,Charleston,United States,32.95N,79.47W
1999-03-01,28.244,0.326,Tanza,Philippines,15.27N,120.83E
1943-07-01,26.028,0.36,Macapá,Brazil,0.80N,50.63W
1944-03-01,6.422999999999999,0.208,Matsusaka,Japan,34.56N,136.22E
1930-06-01,24.098000000000003,0.318,Xintai,China,36.17N,117.35E
1968-07-01,26.211,0.366,Mersin,Turkey,36.17N,33.81E
1870-12-01,24.022,1.2,Sibu,Malaysia,2.41N,111.70E
1995-05-01,11.824000000000002,0.258,Bialystok,Poland,53.84N,23.18E
2002-09-01,32.083,0.304,Khairpur,Pakistan,28.13N,68.18E
1780-09-01,6.957999999999998,3.123,Rybinsk,Russia,58.66N,40.00E
1952-07-01,28.523000000000003,0.471,Wardha,India,20.09N,78.48E
1775-02-01,-3.344,5.141,Riga,Latvia,57.05N,25.08E
1875-09-01,23.508000000000003,0.918,Ezhou,China,29.74N,114.46E
1861-10-01,,,Jhang,Pakistan,31.35N,71.62E
1886-04-01,7.212000000000001,0.163,Gloucester,United Kingdom,52.24N,2.63W
1902-04-01,26.392,0.506,Cagua,Venezuela,10.45N,67.91W
1940-12-01,20.779,0.371,Rajkot,India,21.70N,70.10E
1968-08-01,18.607,0.321,Aix En Provence,France,44.20N,4.47E
1888-10-01,22.458,1.08,Monterrey,Mexico,26.52N,100.30W
1913-05-01,13.49,0.181,Boulogne Billancourt,France,49.03N,2.45E
1939-08-01,17.959,0.583,Barbacena,Brazil,21.70S,44.13W
1917-05-01,25.346,0.907,Paramaribo,Suriname,5.63N,54.89W
1905-04-01,8.77,0.752,Tanggu,China,39.38N,118.61E
1913-01-01,-10.88,1.1909999999999998,Jinxi,China,40.99N,121.42E
1944-10-01,24.536,0.3289999999999999,Mwene Ditu,Congo (Democratic Republic Of The),7.23S,23.51E
1958-10-01,16.371000000000002,0.216,Himeji,Japan,34.56N,134.27E
1873-11-01,,,Libreville,Gabon,0.80N,8.84E
1855-12-01,0.7800000000000001,1.929,Chengdu,China,31.35N,103.66E
1860-10-01,4.468999999999999,0.764,Tartu,Estonia,58.66N,27.69E
1867-11-01,12.948,2.769,Wenzhou,China,28.13N,120.91E
1971-08-01,3.024,0.367,San Carlos De Bariloche,Argentina,40.99S,70.30W
1948-09-01,18.31,0.358,Stockton,United States,37.78N,122.03W
1862-05-01,14.75,1.761,Wuppertal,Germany,50.63N,6.34E
1983-04-01,8.772,0.211,Haibowan,China,39.38N,106.13E
2005-08-01,25.813,0.417,Kano,Nigeria,12.05N,8.22E
1876-04-01,26.372,1.203,Jolo,Philippines,5.63N,119.46E
1862-09-01,16.749000000000002,1.615,Itapevi,Brazil,23.31S,46.31W
2006-01-01,23.849,0.406,Itapecerica Da Serra,Brazil,23.31S,46.31W
1874-03-01,19.408,1.886,Sydney,Australia,34.56S,151.78E
1955-03-01,-5.063,0.236,Sherbrooke,Canada,45.81N,72.69W
2002-08-01,21.835,0.2239999999999999,Girardot,Colombia,4.02N,74.73W
1885-09-01,26.372,0.8,Raichur,India,16.87N,77.02E
1975-09-01,14.598,0.627,Bern,Switzerland,47.42N,8.29E
1802-02-01,25.304,1.707,Nanded,India,18.48N,77.75E
1776-07-01,17.154,3.045,Linz,Austria,49.03N,14.69E
1840-06-01,15.993,1.56,Gyumri,Armenia,40.99N,44.73E
1874-08-01,28.487,0.8190000000000001,Patna,India,24.92N,85.12E
1968-04-01,20.572,0.3279999999999999,Chenghai,China,23.31N,116.21E
1906-10-01,14.111,0.4679999999999999,Huntsville,United States,34.56N,85.62W
1864-11-01,16.285,1.73,Tallahassee,United States,29.74N,84.92W
2011-04-01,9.73,0.192,Nagaoka,Japan,37.78N,138.31E
1967-02-01,22.12,0.29,Brikama,Gambia,13.66N,17.34W
1948-07-01,24.716,0.32,Hanzhong,China,32.95N,106.28E
1834-10-01,19.2,2.169,Killeen,United States,31.35N,98.01W
1945-01-01,-13.863,0.544,Regina,Canada,50.63N,105.21W
1827-08-01,16.185,2.02,Solingen,Germany,50.63N,6.34E
1978-04-01,20.256,0.337,Chungho,Taiwan,24.92N,120.59E
1967-07-01,24.44400000000001,0.447,Akishima,Japan,36.17N,139.23E
1879-07-01,28.252,1.014,Siwan,India,26.52N,84.18E
1853-05-01,10.675,1.181,Kitchener,Canada,44.20N,80.50W
1885-03-01,,,Loja,Ecuador,4.02S,79.55W
2001-07-01,19.548,0.298,Varginha,Brazil,21.70S,45.87W
1977-08-01,26.975,0.5479999999999999,Angeles,Philippines,15.27N,120.83E
2008-06-01,7.0840000000000005,0.351,Lasa,China,29.74N,90.46E
1874-05-01,17.008,1.49,Várzea Paulista,Brazil,23.31S,46.31W
1756-05-01,16.384,4.887,Kremenchuk,Ukraine,49.03N,34.29E
1855-08-01,18.69400000000001,0.7829999999999999,Rochester,United States,42.59N,78.55W
1974-12-01,7.531999999999999,0.264,Arlington,United States,32.95N,96.70W
2009-08-01,27.476,0.3329999999999999,Pagadian,Philippines,7.23N,124.05E
1989-10-01,11.979,0.314,Deyang,China,31.35N,103.66E
1936-02-01,6.388999999999999,0.485,Móstoles,Spain,40.99N,4.26W
1874-12-01,23.642,2.068,Umm Durman,Sudan,15.27N,32.50E
1891-07-01,13.565,0.409,Trondheim,Norway,63.49N,9.00E
1848-01-01,-19.232,2.08,Ryazan,Russia,53.84N,39.55E
1837-02-01,25.052,1.48,Bijapur,India,16.87N,75.35E
1832-02-01,0.281,2.8480000000000003,Göttingen,Germany,52.24N,10.51E
1814-04-01,9.395,1.35,Luton,United Kingdom,52.24N,0.00W
1904-12-01,6.432,0.355,Ogaki,Japan,34.56N,136.22E
1925-07-01,18.864,0.37,Herne,Germany,52.24N,7.88E
1814-04-01,5.636,1.098,Minsk,Belarus,53.84N,28.64E
1785-12-01,0.224,2.128,Banja Luka,Bosnia And Herzegovina,44.20N,17.89E
1980-08-01,22.72300000000001,0.236,Portoviejo,Ecuador,0.80S,81.16W
1872-12-01,,,Calabar,Nigeria,5.63N,8.07E
1814-03-01,25.155,2.111,Dum Dum,India,23.31N,88.25E
1905-11-01,25.638,0.693,Gusau,Nigeria,12.05N,6.58E
1884-04-01,10.463,0.7390000000000001,Bologna,Italy,44.20N,11.18E
1983-05-01,17.379,0.259,Ankang,China,32.95N,108.19E
1876-01-01,12.41,1.3219999999999998,Sanchung,Taiwan,24.92N,120.59E
1958-11-01,24.193,0.331,Surendranagar,India,23.31N,72.52E
1966-04-01,14.687,0.143,Yushan,China,31.35N,120.63E
1891-09-01,26.264,0.475,Perbaungan,Indonesia,4.02N,98.84E
1913-11-01,15.678,0.482,Sur,Lebanon,32.95N,35.43E
1911-03-01,26.602,0.519,Shah Alam,Malaysia,2.41N,102.05E
1958-05-01,35.139,0.76,Bilaspur,India,21.70N,82.21E
1927-08-01,27.276,0.551,Jining,China,34.56N,116.76E
1941-03-01,28.198,1.193,Jibuti,Djibouti,12.05N,42.74E
1964-07-01,24.706,0.432,Tripoli,Libya,32.95N,12.45E
1898-01-01,7.576,0.797,Glendale,United States,32.95N,112.02W
1922-12-01,14.457,0.485,Bhind,India,26.52N,78.81E
1986-02-01,15.844,0.283,Temuco,Chile,39.38S,72.83W
1913-09-01,12.187,0.384,Halle,Germany,50.63N,11.41E
1862-10-01,9.473,2.212,Oruro,Bolivia,18.48S,67.61W
1937-08-01,27.029000000000003,0.475,Robertsonpet,India,13.66N,78.44E
1928-03-01,26.278,0.488,Bhuj,India,23.31N,69.03E
1969-08-01,22.561,0.385,Buga,Colombia,4.02N,76.34W
1829-03-01,23.855,1.996,Jaunpur,India,26.52N,82.39E
1966-03-01,17.997,0.282,Brownsville,United States,26.52N,96.72W
1869-11-01,3.0380000000000003,0.307,Kassel,Germany,50.63N,8.87E
1954-08-01,24.138,0.257,Gusau,Nigeria,12.05N,6.58E
1974-02-01,17.683,0.509,Jodhpur,India,26.52N,73.43E
1804-02-01,17.925,2.537,Pembroke Pines,United States,26.52N,80.60W
1856-01-01,-3.809,0.898,Clarksville,United States,36.17N,87.51W
1796-05-01,13.235,1.927,Stavropol,Russia,44.20N,42.48E
1808-09-01,16.364,3.25,Horlivka,Ukraine,49.03N,39.18E
1985-04-01,22.944000000000003,0.483,Goiânia,Brazil,16.87S,48.56W
1794-06-01,17.45,5.376,Providence,United States,42.59N,72.00W
1769-07-01,16.442999999999998,6.683,Peterborough,United Kingdom,52.24N,0.00W
1936-11-01,12.074000000000002,0.442,Guangshui,China,31.35N,113.09E
1864-08-01,,,Karachi,Pakistan,24.92N,67.39E
1835-12-01,5.6610000000000005,1.833,Nanchong,China,31.35N,105.55E
1878-12-01,3.56,1.46,Edirne,Turkey,42.59N,26.18E
1911-09-01,17.477999999999998,0.506,Edirne,Turkey,42.59N,26.18E
1988-04-01,17.015,0.206,Yichun,China,28.13N,113.64E
1985-12-01,19.255,0.377,Silchar,India,24.92N,92.22E
1820-12-01,18.038,2.108,Bilaspur,India,21.70N,82.21E
1912-08-01,28.249,0.6,Foshan,China,23.31N,112.72E
1858-08-01,5.4700000000000015,1.101,Canberra,Australia,36.17S,149.17E
1904-04-01,22.38,0.405,Gómez Palacio,Mexico,24.92N,102.86W
1994-10-01,26.534,0.15,Nonthaburi,Thailand,13.66N,99.91E
1872-02-01,18.399,2.004,Vientiane,Laos,18.48N,103.10E
1875-04-01,26.047,1.089,Bontang,Indonesia,0.80N,118.13E
1973-09-01,8.692,0.176,Lipetsk,Russia,52.24N,39.42E
1935-10-01,18.395,0.198,Fujinomiya,Japan,34.56N,138.16E
1835-02-01,14.601,2.22,Ludhiana,India,31.35N,75.39E
1809-10-01,11.879,3.65,Windsor,United States,42.59N,82.91W
1824-07-01,20.448,4.053999999999999,Verona,Italy,45.81N,10.38E
1854-04-01,,,Arusha,Tanzania,4.02S,36.16E
1945-06-01,25.61,0.474,Lafia,Nigeria,8.84N,8.92E
1909-06-01,21.244,0.763,Andijon,Uzbekistan,40.99N,72.43E
1839-01-01,,,Klang,Malaysia,2.41N,102.05E
